album_name,track_number,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Red,1.0,State Of Grace,0.588,0.825,4.0,-5.882,1.0,0.0328,0.000197,0.00138,0.0885,0.397,129.968,4.0,295187.0,False,E,major,E major
Red,2.0,Red,0.602,0.896,1.0,-4.267,0.0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,4.0,220827.0,False,C#,minor,C# minor
Red,3.0,Treacherous,0.705,0.621,2.0,-8.086,1.0,0.0334,0.101,4.3e-06,0.147,0.395,109.993,4.0,240773.0,False,D,major,D major
Red,4.0,I Knew You Were Trouble,0.622,0.469,3.0,-6.798,0.0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,4.0,217973.0,False,D#,minor,D# minor
Red,5.0,All Too Well,0.602,0.609,0.0,-7.803,1.0,0.0243,0.0382,0.0002,0.127,0.337,93.06,4.0,327893.0,False,C,major,C major
Red,6.0,22,0.658,0.729,7.0,-6.561,1.0,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4.0,230133.0,False,G,major,G major
Red,7.0,I Almost Do,0.567,0.481,4.0,-7.357,1.0,0.027,0.0173,4.13e-05,0.182,0.233,145.865,4.0,242573.0,False,E,major,E major
Red,8.0,We Are Never Ever Getting Back Together,0.628,0.676,7.0,-5.911,1.0,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,4.0,191880.0,False,G,major,G major
Red,9.0,Stay Stay Stay,0.729,0.748,0.0,-6.67,1.0,0.0245,0.307,1.29e-06,0.09,0.928,99.981,4.0,204827.0,False,C,major,C major
Red,10.0,The Last Time,0.505,0.443,2.0,-7.039,1.0,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,4.0,298293.0,False,D,major,D major
Red,11.0,Holy Ground,0.627,0.816,4.0,-6.698,1.0,0.0774,0.0162,0.00208,0.0966,0.648,157.043,4.0,201853.0,False,E,major,E major
Red,12.0,Sad Beautiful Tragic,0.624,0.34,7.0,-12.411,1.0,0.029,0.632,0.0337,0.121,0.261,129.987,3.0,283680.0,False,G,major,G major
Red,13.0,The Lucky One,0.706,0.499,4.0,-7.675,1.0,0.0369,0.0371,0.0,0.132,0.545,117.937,4.0,240133.0,False,E,major,E major
Red,14.0,Everything Has Changed,0.624,0.458,6.0,-6.755,1.0,0.0287,0.36,3.89e-06,0.303,0.436,80.017,4.0,243933.0,False,F#,major,F# major
Red,15.0,Starlight,0.649,0.777,9.0,-5.804,1.0,0.0406,0.0213,0.000335,0.221,0.587,126.018,4.0,217827.0,False,A,major,A major
Red,16.0,Begin Again,0.53,0.526,7.0,-8.349,1.0,0.0263,0.199,3.52e-06,0.232,0.323,79.025,4.0,237613.0,False,G,major,G major
Red,17.0,The Moment I Knew,0.62,0.506,7.0,-7.327,1.0,0.0312,0.187,1.47e-05,0.102,0.275,126.015,4.0,285560.0,False,G,major,G major
Red,19.0,Girl At Home,0.733,0.59,5.0,-5.86,1.0,0.0284,0.272,0.0,0.136,0.633,125.048,4.0,220320.0,False,F,major,F major
Red,20.0,Treacherous (Original Demo Recording),0.828,0.64,2.0,-8.248,1.0,0.0355,0.175,6.14e-05,0.0996,0.519,109.993,4.0,239720.0,False,D,major,D major
Red,21.0,Red (Original Demo Recording),0.678,0.902,1.0,-4.659,0.0,0.0358,0.113,0.000235,0.0722,0.637,124.998,4.0,226280.0,False,C#,minor,C# minor
Red,22.0,State Of Grace (Acoustic Version),0.626,0.118,7.0,-15.91,1.0,0.0305,0.664,0.000169,0.127,0.0682,105.597,4.0,323080.0,False,G,major,G major
Red (Taylor's Version),1.0,State Of Grace (Taylor's Version),0.594,0.713,9.0,-5.314,1.0,0.0503,0.000328,0.0,0.114,0.328,129.958,4.0,295413.0,False,A,major,A major
Red (Taylor's Version),2.0,Red (Taylor's Version),0.516,0.777,1.0,-4.908,0.0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,4.0,223093.0,False,C#,minor,C# minor
Red (Taylor's Version),3.0,Treacherous (Taylor's Version),0.645,0.593,2.0,-6.506,1.0,0.0288,0.0344,0.000127,0.13,0.299,109.984,4.0,242720.0,False,D,major,D major
Red (Taylor's Version),4.0,I Knew You Were Trouble (Taylor's Version),0.584,0.557,6.0,-6.371,1.0,0.0342,0.0129,0.0,0.0576,0.767,154.008,4.0,219760.0,False,F#,major,F# major
Red (Taylor's Version),5.0,All Too Well (Taylor's Version),0.44,0.528,0.0,-7.809,1.0,0.0317,0.0171,0.00203,0.234,0.132,185.972,4.0,329160.0,False,C,major,C major
Red (Taylor's Version),6.0,22 (Taylor's Version),0.642,0.695,7.0,-5.62,1.0,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,4.0,230960.0,False,G,major,G major
Red (Taylor's Version),7.0,I Almost Do (Taylor's Version),0.511,0.559,4.0,-6.587,1.0,0.0264,0.0167,0.0,0.113,0.248,145.88,4.0,244587.0,False,E,major,E major
Red (Taylor's Version),8.0,We Are Never Ever Getting Back Together (Taylor's Version),0.567,0.686,7.0,-6.139,1.0,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,4.0,193147.0,False,G,major,G major
Red (Taylor's Version),9.0,Stay Stay Stay (Taylor's Version),0.693,0.681,0.0,-7.039,1.0,0.025,0.0848,0.0,0.0768,0.663,100.02,4.0,205787.0,False,C,major,C major
Red (Taylor's Version),10.0,The Last Time (Taylor's Version),0.502,0.534,2.0,-5.954,1.0,0.0278,0.0399,0.0,0.0977,0.155,94.05,4.0,299080.0,False,D,major,D major
Red (Taylor's Version),11.0,Holy Ground (Taylor's Version),0.622,0.809,9.0,-5.623,1.0,0.0638,0.0288,0.00218,0.109,0.511,156.894,4.0,202960.0,False,A,major,A major
Red (Taylor's Version),12.0,Sad Beautiful Tragic (Taylor's Version),0.601,0.406,7.0,-11.827,1.0,0.0275,0.622,9.19e-05,0.133,0.232,130.059,3.0,284773.0,False,G,major,G major
Red (Taylor's Version),13.0,The Lucky One (Taylor's Version),0.686,0.571,4.0,-7.138,1.0,0.05,0.066,0.0,0.0608,0.538,117.889,4.0,240467.0,False,E,major,E major
Red (Taylor's Version),14.0,Everything Has Changed (Taylor's Version),0.498,0.61,6.0,-5.098,1.0,0.0363,0.271,0.0,0.223,0.474,79.918,4.0,245427.0,False,F#,major,F# major
Red (Taylor's Version),15.0,Starlight (Taylor's Version),0.628,0.685,4.0,-5.864,1.0,0.0358,0.00324,0.0,0.18,0.605,126.014,4.0,220413.0,False,E,major,E major
Red (Taylor's Version),16.0,Begin Again (Taylor's Version),0.519,0.527,7.0,-7.673,1.0,0.0274,0.075,0.0,0.132,0.267,78.915,4.0,238867.0,False,G,major,G major
Red (Taylor's Version),17.0,The Moment I Knew (Taylor's Version),0.636,0.402,7.0,-7.855,1.0,0.031,0.0494,0.0,0.107,0.208,125.952,4.0,285280.0,False,G,major,G major
Red (Taylor's Version),19.0,Girl At Home (Taylor's Version),0.691,0.736,5.0,-6.974,1.0,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,4.0,220520.0,False,F,major,F major
